benchmark,metric,value
adi,L2 Misses,93338776256.0
adi,L2 DRead + DWrite,35993591424.0
adi,L2 DMisses,93338776256.0
adi,L2 Access,52658289728.0
adi,LST,28851816400.0
arc_distance,L2 Misses,3324284864.0
arc_distance,L2 DRead + DWrite,2562232800.0
arc_distance,L2 DMisses,3324284864.0
arc_distance,L2 Access,1711343872.0
arc_distance,LST,7315057786.0
cavity_flow,L2 Misses,8444656544.0
cavity_flow,L2 DRead + DWrite,20164849184.0
cavity_flow,L2 DMisses,8444656544.0
cavity_flow,L2 Access,14077827488.0
cavity_flow,LST,11309691976.0
compute,L2 Misses,26466688800.0
compute,L2 DRead + DWrite,20040296576.0
compute,L2 DMisses,26466688800.0
compute,L2 Access,13003774112.0
compute,LST,15442793168.0
conv2d_bias,L2 Misses,23886981024.0
conv2d_bias,L2 DRead + DWrite,5396036000.0
conv2d_bias,L2 DMisses,23886981024.0
conv2d_bias,L2 Access,14294110944.0
conv2d_bias,LST,21580056116.0
crc16,L2 Misses,214560.0
crc16,L2 DRead + DWrite,87808.0
crc16,L2 DMisses,214560.0
crc16,L2 Access,663104.0
crc16,LST,10158578.0
deriche,L2 Misses,26080003520.0
deriche,L2 DRead + DWrite,11815356832.0
deriche,L2 DMisses,26080003520.0
deriche,L2 Access,16610127456.0
deriche,LST,12193749008.0
fdtd_2d,L2 Misses,9727715552.0
fdtd_2d,L2 DRead + DWrite,16720944800.0
fdtd_2d,L2 DMisses,9727715552.0
fdtd_2d,L2 Access,11768282496.0
fdtd_2d,LST,13013410506.0
floyd_warshall,L2 Misses,8009853184.0
floyd_warshall,L2 DRead + DWrite,11517864672.0
floyd_warshall,L2 DMisses,8009853184.0
floyd_warshall,L2 Access,9699428160.0
floyd_warshall,LST,17036282866.0
go_fast,L2 Misses,6380094816.0
go_fast,L2 DRead + DWrite,4769674784.0
go_fast,L2 DMisses,6380094816.0
go_fast,L2 Access,3113221248.0
go_fast,LST,3230447984.0
hdiff,L2 Misses,9854372192.0
hdiff,L2 DRead + DWrite,5803695168.0
hdiff,L2 DMisses,9854372192.0
hdiff,L2 Access,4105997600.0
hdiff,LST,5375472610.0
heat_3d,L2 Misses,10304486720.0
heat_3d,L2 DRead + DWrite,18459733760.0
heat_3d,L2 DMisses,10304486720.0
heat_3d,L2 Access,13273597376.0
heat_3d,LST,10419376488.0
jacobi_1d,L2 Misses,22890821376.0
jacobi_1d,L2 DRead + DWrite,30054232288.0
jacobi_1d,L2 DMisses,22890821376.0
jacobi_1d,L2 Access,24206592288.0
jacobi_1d,LST,24437119396.0
jacobi_2d,L2 Misses,9531177184.0
jacobi_2d,L2 DRead + DWrite,19624628352.0
jacobi_2d,L2 DMisses,9531177184.0
jacobi_2d,L2 Access,15017714944.0
jacobi_2d,LST,12188799400.0
nussinov,L2 Misses,439904.0
nussinov,L2 DRead + DWrite,4485600.0
nussinov,L2 DMisses,439904.0
nussinov,L2 Access,5214624.0
nussinov,LST,30638548.0
resnet,L2 Misses,3465555584.0
resnet,L2 DRead + DWrite,4461923520.0
resnet,L2 DMisses,3465555584.0
resnet,L2 Access,3687020160.0
resnet,LST,19262614808.0
seidel_2d,L2 Misses,7024620160.0
seidel_2d,L2 DRead + DWrite,2187002816.0
seidel_2d,L2 DMisses,7024620160.0
seidel_2d,L2 Access,3148032032.0
seidel_2d,LST,1831897430.0
syr2k,L2 Misses,112973984224.0
syr2k,L2 DRead + DWrite,34759544928.0
syr2k,L2 DMisses,112973984224.0
syr2k,L2 Access,48378410592.0
syr2k,LST,29566701486.0
syrk,L2 Misses,76735298496.0
syrk,L2 DRead + DWrite,27908870368.0
syrk,L2 DMisses,76735298496.0
syrk,L2 Access,37578373376.0
syrk,LST,21997756536.0
vadv,L2 Misses,7221766432.0
vadv,L2 DRead + DWrite,8944889376.0
vadv,L2 DMisses,7221766432.0
vadv,L2 Access,10570185184.0
vadv,LST,3887518810.0
adi,Symbolic Bytes,5161272336.0
arc_distance,Symbolic Bytes,399999960.0
cavity_flow,Symbolic Bytes,6875772800.0
compute,Symbolic Bytes,12287232024.0
conv2d_bias,Symbolic Bytes,1036832188.0
deriche,Symbolic Bytes,7196353272.0
fdtd_2d,Symbolic Bytes,8611588800.0
go_fast,Symbolic Bytes,9600480024.0
hdiff,Symbolic Bytes,1876627392.0
heat_3d,Symbolic Bytes,1949584032.0
jacobi_1d,Symbolic Bytes,9246368064.0
jacobi_2d,Symbolic Bytes,3102521440.0
resnet,Symbolic Bytes,4227198120.0
seidel_2d,Symbolic Bytes,159011424.0
syr2k,Symbolic Bytes,1578324800.0
syrk,Symbolic Bytes,2901127200.0
vadv,Symbolic Bytes,1478064816.0
